gene	weight
ANKS4B	2.6757111542471e-05
ANKS6	4.89213321498666e-05
ANKZF1	3.68089069342047e-05
ANO10	1.2445666395596e-06
ANO2	3.30515701532956e-05
ANO6	4.42480932011557e-05
ANO7	2.18890545663023e-05
ANO8	1.2445666395596e-06
ANO9	1.2445666395596e-06
ANP32A	6.09526798808018e-05
ANP32B	2.21152037108726e-05
ANP32C	1.2445666395596e-06
ANP32D	1.2445666395596e-06
ANP32E	7.25900119979687e-05
ANPEP	0.000139535709474287
ANRIL	1.2445666395596e-06
ANTXR1	2.82887256389343e-05
ANTXR2	2.61687885205093e-05
ANTXRL	1.2445666395596e-06
ANXA1	9.06272373065622e-05
ANXA10	1.41718050443607e-05
ANXA11	3.05373813265191e-05
ANXA13	2.66478840205418e-05
ANXA2	0.000163970923873791
ANXA2P1	1.2445666395596e-06
ANXA2P2	1.2445666395596e-06
ANXA2P3	1.2445666395596e-06
ANXA3	1.2445666395596e-06
ANXA4	1.6612067693174e-05
ANXA5	0.000133427225654787
ANXA6	3.37262813656715e-05
ANXA7	3.25098933136581e-05
ANXA8	3.92167664484035e-05
ANXA8L2	1.2445666395596e-06
AOAH	1.2445666395596e-06
AOC2	5.23856044076622e-05
AOC3	9.55937886592087e-05
AOF2	1.2445666395596e-06
AOX2P	1.2445666395596e-06
AP1B1	0.000129766285947487
AP1G1	0.000138295883054079
AP1G2	8.55983452042205e-05
AP1GBP1	1.2445666395596e-06
AP1M1	0.000101075444732804
AP1M2	8.37690620175128e-05
AP1S1	0.000102184656056038
AP1S2	7.28364209990871e-05
AP1S3	7.00671244299233e-05
AP2A1	0.000182602415436103
AP2A2	0.000133778061936878
AP2B1	0.000220571746231305
AP2M1	0.000191223196309234
AP2S1	0.000148179311111367
AP3B1	9.39576045147197e-05
AP3B2	5.1920452532905e-05
AP3D1	8.98408436602838e-05
AP3M1	4.72280014674586e-05
AP3M2	6.70035639165433e-05
AP3S1	8.52720973274371e-05
AP3S2	7.75179237702592e-05
AP4B1	9.79642015971553e-05
AP4E1	9.19232530834618e-05
AP4S1	7.19220456549105e-05
APAF1	0.00011460303285029
APBA1	0.000100630358617343
